bowler,date,location,game_num,throwdata_avail,score,strike_cnt,spare_cnt,foul_cnt,f1_t1,f1_t2,f2_t1,f2_t2,f3_t1,f3_t2,f4_t1,f4_t2,f5_t1,f5_t2,f6_t1,f6_t2,f7_t1,f7_t2,f8_t1,f8_t2,f9_t1,f9_t2,f10_t1,f10_t2,f10_t3
arpan,4-19-2024,union,1,TRUE,114,2,1,0,7,0,10,,6,4,9,0,8,1,10,,8,0,4,5,4,2,9,0,
nick,4-19-2024,union,2,TRUE,101,1,2,0,10,,8,0,8,2,9,0,0,10,3,0,7,2,5,1,8,0,0,8,
nathan,4-19-2024,union,2,TRUE,162,5,1,0,7,1,8,0,7,2,10,,10,,6,4,1,8,10,,10,,10,3,5
jeriah,4-19-2024,union,2,TRUE,72,0,1,0,0,7,3,4,4,6,7,0,4,3,6,3,5,1,1,6,0,0,6,0,
arpan,4-19-2024,union,2,TRUE,90,2,1,0,7,0,7,1,7,0,7,0,1,1,10,,6,0,8,0,1,8,10,4,6
sridhar,4-19-2024,union,2,TRUE,116,3,1,0,3,7,10,,8,0,0,7,2,0,9,0,10,,1,6,9,0,10,0,9
nick,4-22-2024,union,1,TRUE,123,1,4,0,6,3,3,7,9,1,8,2,7,0,3,0,3,7,10,,6,0,8,0,
nathan,4-22-2024,union,1,TRUE,114,1,4,0,7,0,2,8,9,1,7,3,1,9,3,5,10,,6,0,6,2,7,2,
pranay,4-22-2024,union,1,TRUE,126,3,2,0,9,0,6,0,1,1,10,,10,,9,0,7,3,0,10,7,0,10,8,0
arpan,4-22-2024,union,1,TRUE,77,1,2,0,1,2,8,0,3,6,9,1,0,1,4,1,10,,9,1,1,0,8,1,
preston,4-22-2024,union,1,TRUE,119,0,3,0,9,0,7,2,3,3,1,8,1,8,0,10,9,1,6,2,8,1,7,3,7
nick,4-22-2024,union,2,TRUE,96,1,1,0,10,,8,0,7,0,5,1,6,4,9,0,7,0,7,0,6,1,6,2,
nathan,4-22-2024,union,2,TRUE,120,1,4,0,6,0,10,,3,7,8,2,9,0,6,4,9,1,5,1,3,3,1,1,
pranay,4-22-2024,union,2,TRUE,110,2,1,0,7,0,7,2,9,0,10,,6,0,10,,8,1,9,0,8,2,8,0,
arpan,4-22-2024,union,2,TRUE,78,0,2,0,1,6,7,0,7,0,3,5,6,2,9,0,9,1,9,1,3,0,0,0,
preston,4-22-2024,union,2,TRUE,81,0,3,0,0,8,9,1,7,2,1,9,0,9,7,3,5,1,5,1,1,0,0,0,
nick,4-23-2024,union,1,TRUE,103,1,2,0,10,,9,0,9,0,1,3,8,0,6,0,6,2,9,1,7,3,6,1,
nathan,4-23-2024,union,1,TRUE,203,3,7,0,9,1,9,1,10,,10,,9,1,9,1,8,2,10,,6,4,9,1,9
arpan,4-23-2024,union,1,TRUE,83,0,0,0,9,0,1,7,9,0,0,8,8,0,9,0,8,1,5,1,8,0,3,6,
peyton,4-23-2024,union,1,TRUE,55,0,1,0,5,2,8,0,0,0,5,5,8,0,0,1,0,0,0,5,5,3,0,0,
jeriah,4-23-2024,union,1,TRUE,116,0,4,0,6,0,0,8,6,3,7,2,0,8,9,1,7,3,8,2,7,3,7,0,
nick,4-23-2024,union,2,TRUE,91,1,2,0,4,0,4,4,9,1,6,2,7,3,0,7,7,0,10,,6,2,1,4,
nathan,4-23-2024,union,2,TRUE,130,0,5,0,5,3,9,1,7,0,5,2,9,0,8,2,9,1,8,2,9,0,8,2,7
arpan,4-23-2024,union,2,TRUE,107,2,2,0,8,1,9,1,10,,0,1,7,0,7,2,10,,1,9,5,3,0,7,
peyton,4-23-2024,union,2,TRUE,63,0,1,0,8,1,0,0,4,0,0,0,7,3,8,0,9,0,7,0,0,7,1,0,
jeriah,4-23-2024,union,2,TRUE,111,0,4,0,6,2,6,0,7,0,8,0,5,4,7,0,8,2,7,3,4,6,9,1,6
nick,4-23-2024,union,3,TRUE,84,1,1,0,7,1,8,2,8,0,3,0,7,1,6,1,6,0,10,,6,1,2,0,
nathan,4-23-2024,union,3,TRUE,121,2,2,0,3,6,3,4,0,10,9,0,8,1,10,,9,1,7,0,10,,7,0,
arpan,4-23-2024,union,3,TRUE,62,0,1,0,7,2,0,10,0,3,8,0,6,2,8,1,0,3,9,0,3,0,0,0,
peyton,4-23-2024,union,3,TRUE,49,0,0,0,9,0,0,7,1,0,3,5,0,3,1,0,0,5,0,7,0,0,0,8,
jeriah,4-23-2024,union,3,TRUE,109,1,2,0,4,6,3,6,7,0,8,1,7,1,5,0,10,,6,4,7,0,9,0,
nick,4-24-2024,union,1,TRUE,138,0,6,0,1,9,7,2,9,1,8,0,9,1,8,2,7,1,9,1,7,0,6,4,9
nathan,4-24-2024,union,1,TRUE,121,2,2,0,7,1,6,0,10,,8,0,5,1,8,0,1,8,8,2,10,,7,3,8
arpan,4-24-2024,union,1,TRUE,67,0,0,0,8,0,3,5,7,1,8,0,0,3,7,0,7,2,7,2,7,0,0,0,
preston,4-24-2024,union,1,TRUE,84,1,1,0,2,5,1,0,3,5,0,4,9,1,3,6,1,6,10,,9,0,7,0,
jasper,4-24-2024,union,1,TRUE,62,0,0,0,0,0,0,9,1,0,6,0,0,3,8,0,0,9,3,5,9,0,9,0,
